y_wake,U_norm,kx_w
-45.09,0.995436099216288,0.05636702301551844
-45.08,0.995436099216288,0.05636702301551844
-45.07,0.995436099216288,0.05636702301551844
-45.06,0.995436099216288,0.05636702301551844
-45.05,0.995436099216288,0.05636702301551844
-45.04,0.995436099216288,0.05636702301551844
-45.03,0.995436099216288,0.05636702301551844
-45.02,0.995436099216288,0.05636702301551844
-45.01,0.995436099216288,0.05636702301551844
-45.0,0.995436099216288,0.05636702301551844
-44.99,0.995436099216288,0.05636702301551844
-44.98,0.995436099216288,0.05636702301551844
-44.97,0.995436099216288,0.05636702301551844
-44.96,0.995436099216288,0.05636702301551844
-44.95,0.995436099216288,0.05636702301551844
-44.94,0.995436099216288,0.05636702301551844
-44.93,0.995436099216288,0.05636702301551844
-44.92,0.995436099216288,0.05636702301551844
-44.91,0.995436099216288,0.05636702301551844
-44.9,0.995436099216288,0.05636702301551844
-44.89,0.995436099216288,0.05636702301551844
-44.88,0.995436099216288,0.05636702301551844
-44.87,0.995436099216288,0.05636702301551844
-44.86,0.995436099216288,0.05636702301551844
-44.85,0.995436099216288,0.05636702301551844
-44.84,0.995436099216288,0.05636702301551844
-44.83,0.995436099216288,0.05636702301551844
-44.82,0.995436099216288,0.05636702301551844
-44.81,0.995436099216288,0.05636702301551844
-44.8,0.995436099216288,0.05636702301551844
-44.79,0.995436099216288,0.05636702301551844
-44.78,0.995436099216288,0.05636702301551844
-44.77,0.995436099216288,0.05636702301551844
-44.76,0.995436099216288,0.05636702301551844
-44.75,0.995436099216288,0.05636702301551844
-44.74,0.995436099216288,0.05636702301551844
-44.73,0.995436099216288,0.05636702301551844
-44.72,0.995436099216288,0.05636702301551844
-44.71,0.995436099216288,0.05636702301551844
-44.7,0.995436099216288,0.05636702301551844
-44.69,0.995436099216288,0.05636702301551844
-44.68,0.995436099216288,0.05636702301551844
-44.67,0.995436099216288,0.05636702301551844
-44.66,0.995436099216288,0.05636702301551844
-44.65,0.995436099216288,0.05636702301551844
-44.64,0.995436099216288,0.05636702301551844
-44.63,0.995436099216288,0.05636702301551844
