y_fine,U_scaled
-120.0,1.0
-119.9899997222145,1.0
-119.97999944442901,1.0
-119.96999916664352,1.0
-119.95999888885802,1.0
-119.94999861107253,1.0
-119.93999833328704,1.0
-119.92999805550154,1.0
-119.91999777771605,1.0
-119.90999749993055,1.0
-119.89999722214506,1.0
-119.88999694435957,1.0
-119.87999666657407,1.0
-119.86999638878859,1.0
-119.85999611100307,1.0
-119.84999583321758,1.0
-119.83999555543208,1.0
-119.82999527764659,1.0
-119.8199949998611,1.0
-119.8099947220756,1.0
-119.79999444429012,1.0
-119.78999416650463,1.0
-119.77999388871913,1.0
-119.76999361093364,1.0
-119.75999333314815,1.0
-119.74999305536265,1.0
-119.73999277757716,1.0
-119.72999249979166,1.0
-119.71999222200617,1.0
-119.70999194422068,1.0
-119.69999166643518,1.0
-119.68999138864969,1.0
-119.6799911108642,1.0
-119.6699908330787,1.0
-119.6599905552932,1.0
-119.64999027750771,1.0
-119.63998999972222,1.0
-119.62998972193672,1.0
-119.61998944415123,1.0
-119.60998916636574,1.0
-119.59998888858024,1.0
-119.58998861079475,1.0
-119.57998833300924,1.0
-119.56998805522375,1.0
-119.55998777743825,1.0
-119.54998749965276,1.0
-119.53998722186726,1.0
-119.52998694408177,1.0
-119.51998666629628,1.0
-119.50998638851078,1.0
-119.49998611072529,1.0
-119.4899858329398,1.0
-119.47998555515431,1.0
-119.46998527736882,1.0
-119.45998499958333,1.0
-119.44998472179783,1.0
-119.43998444401234,1.0
-119.42998416622684,1.0
-119.41998388844135,1.0
-119.40998361065586,1.0
-119.39998333287036,1.0
-119.38998305508487,1.0
-119.37998277729938,1.0
-119.36998249951388,1.0
-119.35998222172839,1.0
-119.3499819439429,1.0
-119.3399816661574,1.0
-119.3299813883719,1.0
-119.31998111058641,1.0
-119.3099808328009,1.0
-119.29998055501541,1.0
-119.28998027722992,1.0
-119.27997999944442,1.0
-119.26997972165893,1.0
-119.25997944387343,1.0
-119.24997916608794,1.0
-119.23997888830245,1.0
-119.22997861051695,1.0
-119.21997833273146,1.0
-119.20997805494596,1.0
-119.19997777716047,1.0
-119.18997749937498,1.0
-119.17997722158948,1.0
-119.16997694380399,1.0
-119.15997666601851,1.0
-119.14997638823301,1.0
-119.13997611044752,1.0
-119.12997583266203,1.0
-119.11997555487653,1.0
-119.10997527709104,1.0
-119.09997499930554,1.0
-119.08997472152005,1.0
-119.07997444373456,1.0
-119.06997416594906,1.0
-119.05997388816357,1.0
-119.04997361037807,1.0
-119.03997333259258,1.0
-119.02997305480707,1.0
-119.01997277702158,1.0
-119.00997249923608,1.0
-118.99997222145059,1.0
-118.9899719436651,1.0
-118.9799716658796,1.0
-118.96997138809411,1.0
-118.95997111030862,1.0
-118.94997083252312,1.0
-118.93997055473763,1.0
-118.92997027695213,1.0
-118.91996999916664,1.0
-118.90996972138115,1.0
-118.89996944359565,1.0
-118.88996916581016,1.0
-118.87996888802466,1.0
-118.86996861023917,1.0
-118.85996833245368,1.0
-118.84996805466818,1.0
-118.8399677768827,1.0
-118.82996749909721,1.0
-118.81996722131171,1.0
-118.80996694352622,1.0
-118.79996666574073,1.0
-118.78996638795523,1.0
-118.77996611016974,1.0
-118.76996583238424,1.0
-118.75996555459875,1.0
-118.74996527681324,1.0
-118.73996499902775,1.0
-118.72996472124225,1.0
-118.71996444345676,1.0
-118.70996416567127,1.0
-118.69996388788577,1.0
-118.68996361010028,1.0
-118.67996333231478,1.0
-118.66996305452929,1.0
-118.6599627767438,1.0
-118.6499624989583,1.0
-118.63996222117281,1.0
-118.62996194338731,1.0
-118.61996166560182,1.0
-118.60996138781633,1.0
-118.59996111003083,1.0
-118.58996083224534,1.0
-118.57996055445984,1.0
-118.56996027667435,1.0
-118.55995999888886,1.0
-118.54995972110336,1.0
-118.53995944331787,1.0
-118.52995916553238,1.0
-118.5199588877469,1.0
-118.5099586099614,1.0
-118.49995833217591,1.0
-118.48995805439041,1.0
-118.47995777660489,1.0
-118.4699574988194,1.0
-118.4599572210339,1.0
-118.44995694324842,1.0
-118.43995666546293,1.0
-118.42995638767744,1.0
-118.41995610989194,1.0
-118.40995583210645,1.0
-118.39995555432095,1.0
-118.38995527653546,1.0
-118.37995499874997,1.0
-118.36995472096447,1.0
-118.35995444317898,1.0
-118.34995416539348,1.0
-118.33995388760799,1.0
-118.3299536098225,1.0
-118.319953332037,1.0
-118.30995305425151,1.0
-118.29995277646601,1.0
-118.28995249868052,1.0
-118.27995222089503,1.0
-118.26995194310953,1.0
-118.25995166532404,1.0
-118.24995138753854,1.0
-118.23995110975305,1.0
-118.22995083196756,1.0
-118.21995055418206,1.0
-118.20995027639657,1.0
-118.19994999861106,1.0
-118.18994972082557,1.0
-118.17994944304007,1.0
-118.16994916525458,1.0
-118.15994888746908,1.0
-118.14994860968359,1.0
-118.1399483318981,1.0
-118.12994805411262,1.0
-118.11994777632712,1.0
-118.10994749854163,1.0
-118.09994722075614,1.0
-118.08994694297064,1.0
-118.07994666518515,1.0
-118.06994638739965,1.0
-118.05994610961416,1.0
-118.04994583182867,1.0
-118.03994555404317,1.0
-118.02994527625768,1.0
-118.01994499847218,1.0
-118.00994472068669,1.0
-117.9999444429012,1.0
-117.9899441651157,1.0
-117.97994388733021,1.0
-117.96994360954471,1.0
-117.95994333175922,1.0
-117.94994305397373,1.0
-117.93994277618823,1.0
-117.92994249840274,1.0
-117.91994222061723,1.0
-117.90994194283174,1.0
-117.89994166504624,1.0
-117.88994138726075,1.0
-117.87994110947525,1.0
-117.86994083168976,1.0
-117.85994055390427,1.0
-117.84994027611877,1.0
-117.83993999833328,1.0
-117.82993972054778,1.0
-117.81993944276229,1.0
-117.80993916497681,1.0
-117.79993888719132,1.0
-117.78993860940582,1.0
-117.77993833162033,1.0
-117.76993805383484,1.0
-117.75993777604934,1.0
-117.74993749826385,1.0
-117.73993722047835,1.0
-117.72993694269286,1.0
-117.71993666490737,1.0
-117.70993638712187,1.0
-117.69993610933638,1.0
-117.68993583155088,1.0
-117.67993555376539,1.0
-117.6699352759799,1.0
-117.6599349981944,1.0
-117.6499347204089,1.0
-117.6399344426234,1.0
-117.6299341648379,1.0
-117.61993388705241,1.0
-117.60993360926692,1.0
-117.59993333148142,1.0
-117.58993305369593,1.0
-117.57993277591044,1.0
-117.56993249812494,1.0
-117.55993222033945,1.0
-117.54993194255395,1.0
-117.53993166476846,1.0
-117.52993138698297,1.0
-117.51993110919747,1.0
-117.50993083141198,1.0
-117.49993055362648,1.0
-117.489930275841,1.0
-117.47992999805551,1.0
-117.46992972027002,1.0
-117.45992944248452,1.0
-117.44992916469903,1.0
-117.43992888691353,1.0
-117.42992860912804,1.0
-117.41992833134255,1.0
-117.40992805355705,1.0
-117.39992777577156,1.0
-117.38992749798606,1.0
-117.37992722020056,1.0
-117.36992694241506,1.0
-117.35992666462957,1.0
-117.34992638684407,1.0
-117.33992610905858,1.0
-117.32992583127309,1.0
-117.3199255534876,1.0
-117.3099252757021,1.0
-117.2999249979166,1.0
-117.28992472013111,1.0
-117.27992444234562,1.0
-117.26992416456012,1.0
-117.25992388677463,1.0
-117.24992360898914,1.0
-117.23992333120364,1.0
-117.22992305341815,1.0
-117.21992277563265,1.0
-117.20992249784716,1.0
-117.19992222006167,1.0
-117.18992194227617,1.0
-117.17992166449068,1.0
-117.1699213867052,1.0
-117.1599211089197,1.0
-117.14992083113421,1.0
-117.13992055334872,1.0
-117.12992027556322,1.0
-117.11991999777773,1.0
-117.10991971999223,1.0
-117.09991944220674,1.0
-117.08991916442123,1.0
-117.07991888663574,1.0
-117.06991860885024,1.0
-117.05991833106475,1.0
-117.04991805327926,1.0
-117.03991777549376,1.0
-117.02991749770827,1.0
-117.01991721992277,1.0
-117.00991694213728,1.0
-116.99991666435179,1.0
-116.98991638656629,1.0
-116.9799161087808,1.0
-116.9699158309953,1.0
-116.95991555320981,1.0
-116.94991527542432,1.0
-116.93991499763882,1.0
-116.92991471985333,1.0
-116.91991444206784,1.0
-116.90991416428234,1.0
-116.89991388649685,1.0
-116.88991360871135,1.0
-116.87991333092586,1.0
-116.86991305314037,1.0
-116.85991277535487,1.0
-116.84991249756939,1.0
-116.8399122197839,1.0
-116.8299119419984,1.0
-116.81991166421288,1.0
-116.80991138642739,1.0
-116.7999111086419,1.0
-116.7899108308564,1.0
-116.77991055307092,1.0
-116.76991027528543,1.0
-116.75990999749993,1.0
-116.74990971971444,1.0
-116.73990944192894,1.0
-116.72990916414345,1.0
-116.71990888635796,1.0
-116.70990860857246,1.0
-116.69990833078697,1.0
-116.68990805300147,1.0
-116.67990777521598,1.0
-116.66990749743049,1.0
-116.65990721964499,1.0
-116.6499069418595,1.0
-116.639906664074,1.0
-116.62990638628851,1.0
-116.61990610850302,1.0
-116.60990583071752,1.0
