y_fine,U_scaled
-60.0,1.0
-59.97999833319444,1.0
-59.95999666638887,1.0
-59.9399949995833,1.0
-59.91999333277773,1.0
-59.899991665972166,1.0
-59.879989999166604,1.0
-59.85998833236103,1.0
-59.839986665555465,1.0
-59.819984998749895,1.0
-59.79998333194433,1.0
-59.779981665138756,1.0
-59.75997999833319,1.0
-59.739978331527624,1.0
-59.71997666472206,1.0
-59.6999749979165,1.0
-59.67997333111092,1.0
-59.65997166430536,1.0
-59.63996999749979,1.0
-59.61996833069423,1.0
-59.59996666388865,1.0
-59.57996499708309,1.0
-59.559963330277526,1.0
-59.539961663471956,1.0
-59.51995999666639,1.0
-59.49995832986082,1.0
-59.479956663055255,1.0
-59.45995499624969,1.0
-59.43995332944412,1.0
-59.41995166263855,1.0
-59.39994999583298,1.0
-59.37994832902742,1.0
-59.35994666222186,1.0
-59.33994499541628,1.0
-59.31994332861072,1.0
-59.29994166180515,1.0
-59.27993999499959,1.0
-59.25993832819401,1.0
-59.23993666138845,1.0
-59.21993499458288,1.0
-59.199933327777316,1.0
-59.179931660971754,1.0
-59.15992999416618,1.0
-59.139928327360614,1.0
-59.119926660555045,1.0
-59.09992499374948,1.0
-59.079923326943906,1.0
-59.05992166013834,1.0
-59.03991999333278,1.0
-59.01991832652721,1.0
-58.99991665972164,1.0
-58.97991499291607,1.0
-58.95991332611051,1.0
-58.93991165930495,1.0
-58.91990999249938,1.0
-58.89990832569381,1.0
-58.87990665888824,1.0
-58.859904992082676,1.0
-58.839903325277106,1.0
-58.81990165847154,1.0
-58.79989999166597,1.0
-58.779898324860405,1.0
-58.75989665805484,1.0
-58.73989499124927,1.0
-58.7198933244437,1.0
-58.69989165763813,1.0
-58.67988999083257,1.0
-58.65988832402701,1.0
-58.63988665722143,1.0
-58.61988499041587,1.0
-58.5998833236103,1.0
-58.57988165680474,1.0
-58.55987998999916,1.0
-58.5398783231936,1.0
-58.519876656388035,1.0
-58.499874989582466,1.0
-58.4798733227769,1.0
-58.45987165597133,1.0
-58.439869989165764,1.0
-58.4198683223602,1.0
-58.39986665555463,1.0
-58.37986498874906,1.0
-58.35986332194349,1.0
-58.33986165513793,1.0
-58.31985998833236,1.0
-58.29985832152679,1.0
-58.27985665472122,1.0
-58.25985498791566,1.0
-58.2398533211101,1.0
-58.21985165430453,1.0
-58.19984998749896,1.0
-58.17984832069339,1.0
-58.159846653887826,1.0
-58.13984498708226,1.0
-58.119843320276686,1.0
-58.099841653471124,1.0
-58.079839986665554,1.0
-58.05983831985999,1.0
-58.039836653054415,1.0
-58.01983498624885,1.0
-57.99983331944329,1.0
-57.97983165263772,1.0
-57.95982998583216,1.0
-57.93982831902658,1.0
-57.91982665222102,1.0
-57.89982498541545,1.0
-57.87982331860989,1.0
-57.85982165180431,1.0
-57.83981998499875,1.0
-57.819818318193185,1.0
-57.799816651387616,1.0
-57.779814984582046,1.0
-57.75981331777648,1.0
-57.739811650970914,1.0
-57.71980998416535,1.0
-57.69980831735978,1.0
-57.67980665055421,1.0
-57.65980498374864,1.0
-57.63980331694308,1.0
-57.61980165013752,1.0
-57.59979998333194,1.0
-57.57979831652638,1.0
-57.55979664972081,1.0
-57.53979498291525,1.0
-57.51979331610967,1.0
-57.49979164930411,1.0
-57.479789982498545,1.0
-57.459788315692975,1.0
-57.43978664888741,1.0
-57.419784982081836,1.0
-57.399783315276274,1.0
-57.379781648470704,1.0
-57.35977998166514,1.0
-57.339778314859565,1.0
-57.319776648054,1.0
-57.29977498124844,1.0
-57.27977331444287,1.0
-57.2597716476373,1.0
-57.23976998083173,1.0
-57.21976831402617,1.0
-57.199766647220606,1.0
-57.17976498041504,1.0
-57.15976331360947,1.0
-57.1397616468039,1.0
-57.119759979998335,1.0
-57.09975831319277,1.0
